Ref,Val,Package,PosX,PosY,Rot,Side
"R13","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",34.000000,-111.000000,90.000000,top
"R14","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",34.000000,-107.000000,270.000000,top
"R15","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-165.000000,90.000000,top
"R16","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-111.000000,90.000000,top
"R17","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-107.000000,270.000000,top
"R18","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-180.000000,90.000000,top
"R19","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-111.000000,90.000000,top
"R20","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-107.000000,270.000000,top
"R21","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-195.000000,90.000000,top
"R22","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-128.000000,90.000000,top
"R23","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-124.000000,270.000000,top
"R24","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",135.000000,-210.000000,90.000000,top
"R25","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-128.000000,90.000000,top
"R26","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-124.000000,270.000000,top
"R27","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",125.000000,-220.000000,0.000000,top
"R28","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",84.000000,-128.000000,90.000000,top
"R29","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",84.000000,-124.000000,270.000000,top
"R30","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",110.000000,-220.000000,0.000000,top
"R31","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",34.000000,-145.000000,90.000000,top
"R32","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",34.000000,-141.000000,270.000000,top
"R33","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",95.000000,-220.000000,0.000000,top
"R34","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-145.000000,90.000000,top
"R35","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-141.000000,270.000000,top
"R36","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",80.000000,-220.000000,0.000000,top
"R37","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-145.000000,90.000000,top
"R38","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",74.000000,-141.000000,270.000000,top
"R39","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",65.000000,-220.000000,0.000000,top
"R40","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-162.000000,90.000000,top
"R41","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",44.000000,-158.000000,270.000000,top
"R42","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",55.000000,-210.000000,270.000000,top
"R43","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-162.000000,90.000000,top
"R44","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",64.000000,-158.000000,270.000000,top
"R45","LRV_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",55.000000,-195.000000,270.000000,top
"R46","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-179.000000,90.000000,top
"R47","O_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",54.000000,-175.000000,270.000000,top
"R48","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",118.750000,-192.750000,180.000000,top
"R49","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",126.750000,-188.750000,180.000000,top
"R50","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",126.750000,-190.750000,0.000000,top
"R51","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",106.750000,-192.750000,180.000000,top
"R52","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",126.750000,-186.750000,180.000000,top
"R53","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",110.500000,-192.750000,180.000000,top
"R54","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",122.750000,-192.750000,0.000000,top
"R55","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",126.750000,-192.750000,180.000000,top
"R56","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",114.750000,-192.750000,180.000000,top
"R57","47k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",114.750000,-190.750000,180.000000,top
"R58","DENS_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",130.750000,-184.750000,0.000000,top
"R59","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",114.750000,-184.750000,180.000000,top
"R60","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",97.250000,-192.750000,180.000000,top
"R61","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",97.250000,-184.750000,180.000000,top
"R62","GP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",97.250000,-190.750000,0.000000,top
"R63","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",126.750000,-184.750000,0.000000,top
"R64","DENS_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",130.750000,-192.750000,0.000000,top
"R65","DENS_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",130.750000,-190.750000,0.000000,top
"R66","WSP_R","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",114.750000,-186.750000,180.000000,top
"R67","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder_SmallRef_Fab",114.750000,-188.750000,0.000000,top
"RV1","ROC","SMD_TRIM_JLC",123.000000,-151.000000,0.000000,top
"RV2","XCTRL","SMD_TRIM_JLC",123.000000,-160.000000,0.000000,top
"RV3","MIN_DENS","SMD_TRIM_JLC",123.000000,-169.000000,0.000000,top
"RV4","MAX_DENS","SMD_TRIM_JLC",123.000000,-178.000000,0.000000,top
"U0","74HC245","SOIC-20W_7.5x12.8mm_P1.27mm",93.500000,-155.750000,0.000000,top
"U1","74HC245","SOIC-20W_7.5x12.8mm_P1.27mm",93.500000,-171.500000,0.000000,top
"U2","MCP6002-xP","SOIC-8_3.9x4.9mm_P1.27mm",108.750000,-188.750000,0.000000,top
"U3","MCP6002-xP","SOIC-8_3.9x4.9mm_P1.27mm",120.750000,-188.750000,0.000000,top
"U5","L78M05ABDT-TR","TO-252-2",91.250000,-185.850000,90.000000,top
